"","feature","MeanDecreaseGini","rank"
"Id","Id",0.0356409627439491,476
"FNC1","FNC1",0.0210368727843629,611
"FNC2","FNC2",0.0292325067315944,553
"FNC3","FNC3",0.0273966200271625,578
"FNC4","FNC4",0.0665243249811637,185
"FNC5","FNC5",0.137025594846666,54
"FNC6","FNC6",0.0491438889001853,305
"FNC7","FNC7",0.0472571727216051,323
"FNC8","FNC8",0.024837551192708,593
"FNC9","FNC9",0.0746507101480703,153
"FNC10","FNC10",0.0380555293255909,434
"FNC11","FNC11",0.04317702753448,364
"FNC12","FNC12",0.0364394882219286,461
"FNC13","FNC13",0.135890120698921,55
"FNC14","FNC14",0.0436602871708395,356
"FNC15","FNC15",0.054644623306574,257
"FNC16","FNC16",0.0631669813166621,204
"FNC17","FNC17",0.0416951850017077,385
"FNC18","FNC18",0.0292554137498406,552
"FNC19","FNC19",0.036561195380984,460
"FNC20","FNC20",0.0815384882838241,132
"FNC21","FNC21",0.0329165228157204,506
"FNC22","FNC22",0.0452577262312366,345
"FNC23","FNC23",0.0539372070230154,269
"FNC24","FNC24",0.0300445966929679,542
"FNC25","FNC25",0.0258818609944529,589
"FNC26","FNC26",0.0394417295384633,423
"FNC27","FNC27",0.0333018375508694,498
"FNC28","FNC28",0.0434889423203078,357
"FNC29","FNC29",0.0980117273020982,87
"FNC30","FNC30",0.146593572904687,48
"FNC31","FNC31",0.0395999805809949,420
"FNC32","FNC32",0.0331703506323675,500
"FNC33","FNC33",0.267415567059196,16
"FNC34","FNC34",0.0470697871972742,324
"FNC35","FNC35",0.0743246836588248,154
"FNC36","FNC36",0.0614731936982228,219
"FNC37","FNC37",0.248083583399157,19
"FNC38","FNC38",0.060750071307052,224
"FNC39","FNC39",0.0638182669277139,200
"FNC40","FNC40",0.149785691285651,46
"FNC41","FNC41",0.081926499183751,129
"FNC42","FNC42",0.0934152064635663,99
"FNC43","FNC43",0.0729842702585398,156
"FNC44","FNC44",0.0396645984900586,418
"FNC45","FNC45",0.0679254571775655,180
"FNC46","FNC46",0.0400128625954875,411
"FNC47","FNC47",0.0645508381975963,198
"FNC48","FNC48",0.21204939276149,25
"FNC49","FNC49",0.0713457036599043,161
"FNC50","FNC50",0.0260680180922424,586
"FNC51","FNC51",0.0372546410835327,449
"FNC52","FNC52",0.0323096516081378,513
"FNC53","FNC53",0.0380897649805775,433
"FNC54","FNC54",0.0789443074726828,140
"FNC55","FNC55",0.0545563824785266,260
"FNC56","FNC56",0.024963391136005,592
"FNC57","FNC57",0.0379785331936308,436
"FNC58","FNC58",0.0359329074328075,468
"FNC59","FNC59",0.0313840968691139,528
"FNC60","FNC60",0.0479726759374031,315
"FNC61","FNC61",0.179598755413863,33
"FNC62","FNC62",0.172428956578568,39
"FNC63","FNC63",0.176054249305428,36
"FNC64","FNC64",0.196435173473036,29
"FNC65","FNC65",0.0503012681793797,297
"FNC66","FNC66",0.0423928349256049,374
"FNC67","FNC67",0.0345374468039671,486
"FNC68","FNC68",0.0915251765382353,108
"FNC69","FNC69",0.058212771903276,242
"FNC70","FNC70",0.0346225395461702,483
"FNC71","FNC71",0.102612069719526,81
"FNC72","FNC72",0.0426875217290954,370
"FNC73","FNC73",0.0341445702008096,491
"FNC74","FNC74",0.0288724754419888,559
"FNC75","FNC75",0.112193806890023,72
"FNC76","FNC76",0.0459804984846569,337
"FNC77","FNC77",0.0316816005441996,520
"FNC78","FNC78",0.249746129813162,17
"FNC79","FNC79",0.0350384599971586,480
"FNC80","FNC80",0.0287158271089401,562
"FNC81","FNC81",0.0313056912846591,529
"FNC82","FNC82",0.0586865663140704,237
"FNC83","FNC83",0.0968838952923461,88
"FNC84","FNC84",0.036717909094246,458
"FNC85","FNC85",0.0915642076710993,107
"FNC86","FNC86",0.0475241370041247,320
"FNC87","FNC87",0.0276126785918532,574
"FNC88","FNC88",0.0532419226075504,273
"FNC89","FNC89",0.117997939179592,67
"FNC90","FNC90",0.0553050729414634,255
"FNC91","FNC91",0.0329677929106866,504
"FNC92","FNC92",0.0275177799140557,575
"FNC93","FNC93",0.0416485880155426,386
"FNC94","FNC94",0.0329058227085369,507
"FNC95","FNC95",0.0464659258548777,331
"FNC96","FNC96",0.0626651523366802,206
"FNC97","FNC97",0.0216438854457565,605
"FNC98","FNC98",0.0315626308383444,521
"FNC99","FNC99",0.0329871931511692,502
"FNC100","FNC100",0.03421625632812,490
"FNC101","FNC101",0.0297219702182817,545
"FNC102","FNC102",0.0786215745133016,141
"FNC103","FNC103",0.0454644825770464,342
"FNC104","FNC104",0.0465065368539696,330
"FNC105","FNC105",0.0782872035322165,145
"FNC106","FNC106",0.0861193376861831,116
"FNC107","FNC107",0.0605687952467255,225
"FNC108","FNC108",0.0443646466043091,350
"FNC109","FNC109",0.0451575227717632,347
"FNC110","FNC110",0.0280257127482753,568
"FNC111","FNC111",0.0513197976494284,286
"FNC112","FNC112",0.0621681764040566,213
"FNC113","FNC113",0.0502517878423435,298
"FNC114","FNC114",0.0565830458650603,251
"FNC115","FNC115",0.0380246010841315,435
"FNC116","FNC116",0.0480550683242021,314
"FNC117","FNC117",0.0378756292131556,438
"FNC118","FNC118",0.0692007323693355,171
"FNC119","FNC119",0.0413918019366832,389
"FNC120","FNC120",0.0235410869904324,597
"FNC121","FNC121",0.0252847784821598,591
"FNC122","FNC122",0.0225720958165122,603
"FNC123","FNC123",0.0214072256329794,609
"FNC124","FNC124",0.0443018992918183,351
"FNC125","FNC125",0.0418320968617082,382
"FNC126","FNC126",0.0371931761164258,451
"FNC127","FNC127",0.0615622431037275,217
"FNC128","FNC128",0.0711757600688348,162
"FNC129","FNC129",0.032065889667888,514
"FNC130","FNC130",0.0473277643765129,322
"FNC131","FNC131",0.0542488324704911,264
"FNC132","FNC132",0.0231659212137099,598
"FNC133","FNC133",0.0425057247308648,371
"FNC134","FNC134",0.0460417549460256,335
"FNC135","FNC135",0.0961695625134714,89
"FNC136","FNC136",0.0413098733472579,391
"FNC137","FNC137",0.0709196883306886,163
"FNC138","FNC138",0.0666510002447496,183
"FNC139","FNC139",0.0374546324254417,443
"FNC140","FNC140",0.0432016388248418,363
"FNC141","FNC141",0.0421682133799929,377
"FNC142","FNC142",0.0818682276164917,130
"FNC143","FNC143",0.0226727786015374,602
"FNC144","FNC144",0.0611346277895059,222
"FNC145","FNC145",0.0357478477388969,473
"FNC146","FNC146",0.0540263579205932,266
"FNC147","FNC147",0.0366710116177078,459
"FNC148","FNC148",0.0286070935398946,563
"FNC149","FNC149",0.0345513051113082,484
"FNC150","FNC150",0.11797171376918,68
"FNC151","FNC151",0.0614410335615531,220
"FNC152","FNC152",0.0466776841410137,328
"FNC153","FNC153",0.0228847336601233,599
"FNC154","FNC154",0.028415793915821,566
